Key Lower Bound,Key Generation,Operation,Verification
0.029325,0.713694,0.012830,0.005132,
0.006232,0.171184,0.014296,0.005132,
0.005498,0.143325,0.013929,0.004399,
0.007331,0.117299,0.018695,0.005132,
0.006598,0.134894,0.013929,0.004765,
0.006232,0.137094,0.013563,0.015762,
0.016129,0.117299,0.015396,0.015762,
0.005865,0.103004,0.016129,0.004765,
0.004765,0.120232,0.023460,0.004765,
0.004765,0.133795,0.013563,0.006598,
0.005132,0.127197,0.015762,0.005498,
0.014662,0.114000,0.014662,0.004765,
0.005865,0.116200,0.023460,0.006965,
0.005498,0.194277,0.013563,0.008064,
0.004765,0.166785,0.013929,0.006598,
0.015029,0.116200,0.017228,0.005132,
0.006232,0.114367,0.014662,0.006965,
0.006232,0.135261,0.014296,0.007331,
0.006232,0.212972,0.014296,0.008064,
0.007698,0.233133,0.016129,0.006965,
0.005498,0.167152,0.015029,0.004765,
0.005498,0.107402,0.017228,0.004765,
0.005132,0.106669,0.014662,0.006965,
0.005132,0.116200,0.013929,0.004399,
0.004399,0.105936,0.016862,0.004765,
0.005132,0.177782,0.016862,0.007331,
0.005132,0.123898,0.014296,0.005865,
0.004399,0.104836,0.013929,0.007698,
0.004765,0.106669,0.014662,0.004399,
0.004399,0.120232,0.013929,0.007698,
